AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage

"25400","2","C1, C2","22µF","KON 22µF 6,3V X5R SMD","1608 (0603)","22u","CAPC1608X90N","","","","SMT","","X5R","","","6.3V"
"24921","8","C3, C4, C5, C6, C7, C10, C11, C12","470nF","KON 470nF X5R 6.3V SMD 20%","0603 (0201)","470n","CAPC0603X33N","01","","","SMT","Yes","X5R","20%","","6.3V"
"24719","2","C8, C9","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","1005 (0402)","4.7u","CAPC1005X60N","","","","SMT","Yes","X5R","20%","","6.3"
"","1","CN2","microSD","microSD","","","uSD_PCB","","","","","","","","",""
"26721","1","D1","Chip LED 0603 Infrared","Chip LED 0603 Infrared","0603","","chipLED_0603_Red","01","","","SMT","Yes","","","","1.2"
"24212","1","D2","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","1005 (0402)","","LEDC1006X25N_RED","01","","","SMT","Yes","","","",""
"25616","1","J9","JST-SM10B-XSRS-ETB","JST 10Pol. 0.6mm RA","","","JST-SM10B-XSRS-ETB","01","","Yes","SMT","","","","",""
"26259","2","R1, R3","0R","WID SMD 0R 0,05W SMD","0603 (0201)","0","RESC0603X26N","01","","","SMT","Yes","","","",""
"24914","2","R2, R4","10K","WID SMD 10K 1% 0,05W","0603 (0201)","10K","RESC0603X26N","01","","","SMT","Yes","","1%","",""
"22770","1","R5","33R","WID SMD 33R 1% 0,063W","1005 (0402)","33","RESC1005X40N","01","","","SMT","Yes","","1%","",""
"26752","1","U1","XC7A35T-1CPG236C","XC7A35T-1CPG236C","CPG236","","XC7AxxT-CPG236","01","","Yes","SMT","","","","",""
"26788","1","U2","N25Q016A11E5140F","N25Q016A11E5140F","CSPBGA , XFBGA 8","","BGA8C50P4X2_271X196X41B30N","01","","Yes","SMT","Yes","","","",""
"26786","1","U3","LXDC2HL10A-080","LXDC2HL10A-080","","","LXDC2HL","","","Yes","SMT","","","","",""
"26318","1","U4","Si1143-A11-GMR","Si1143-A11-GMR","QFN10","","QFN50P200X200X75-10N","01","","","AMT","","","","",""
"26674","1","U5","SiT8008AI-73-18S-25.000000E","SiT8008AI-73-18S-25.000000E MEMS Oszillator 25MHz","2.0  x 1.6mm","25M","2016","01","","Yes","SMT","Yes","","","","1.8V"
"26787","1","U6","S34ML01G200GHI000","S34ML01G200GHI000","BGA67","","BGA67C80P10X8_800X650X100B46N","01","","Yes","SMT","","","","",""
"26785","1","U9","LXDC2HL18A-052","LXDC2HL18A-052","","","LXDC2HL","","","Yes","SMT","","","","",""
